Name,BOFA ML EMU CORP. (E) - RED. YIELD,BOFA ML US CORP BBB-A ($) - RED. YIELD,ITRAXX CROSSOVER 5YR (EOD) SR15 - CDS PREM. BID,BOFA ML EUROPEAN CUR HY (E) - RED. YIELD,BOFA ML US HY MASTER II ($) - RED. YIELD,JPM EMBI+ COMPOSITE - BLENDED YIELD MAT
1/10/2007,4.48,5.77,,6.716,7.87,6.507
1/17/2007,4.48,5.86,,6.669,7.82,6.486
1/24/2007,4.49,5.86,,6.628,7.77,6.536
1/31/2007,4.53,5.88,,6.619,7.85,6.592
2/7/2007,4.46,5.79,,6.76,7.72,6.5
2/14/2007,4.52,5.77,,6.636,7.68,6.454
2/21/2007,4.48,5.72,,6.634,7.59,6.42
2/28/2007,4.4,5.61,,6.638,7.69,6.454
3/7/2007,4.38,5.59,,6.777,7.74,6.457
3/14/2007,4.37,5.61,,6.765,7.77,6.437
3/21/2007,4.43,5.61,,6.737,7.73,6.371
3/28/2007,4.49,5.69,,6.728,7.75,6.39
4/4/2007,4.55,5.74,,6.749,7.81,6.369
4/11/2007,4.61,5.82,,6.748,7.79,6.385
4/18/2007,4.62,5.74,,6.707,7.71,6.344
4/25/2007,4.65,5.72,,6.694,7.64,6.297
5/2/2007,4.69,5.74,,6.714,7.68,6.343
5/9/2007,4.69,5.76,,6.7,7.65,6.351
5/16/2007,4.77,5.78,,6.685,7.62,6.363
5/23/2007,4.83,5.91,,6.662,7.62,6.416
5/30/2007,4.86,5.95,,6.666,7.66,6.487
6/6/2007,4.92,6.05,,6.757,7.73,6.575
6/13/2007,5.08,6.26,,6.946,7.93,6.842
6/20/2007,5.06,6.18,,6.93,7.92,6.689
6/27/2007,5,6.14,,7.059,8.11,6.818
7/4/2007,5.09,6.14,,7.211,8.2,6.76
7/11/2007,5.1,6.18,,7.34,8.36,6.799
7/18/2007,5.11,6.14,,7.399,8.35,6.795
7/25/2007,5.02,6.12,,7.607,8.71,6.899
8/1/2007,5.07,6.15,,8.188,9.09,7.004
8/8/2007,5.14,6.27,,7.986,8.87,6.84
8/15/2007,5.07,6.17,,8.13,8.98,7.019
8/22/2007,5.06,6.16,,8.445,9.01,7.046
8/29/2007,5.01,6.1,,8.371,8.97,6.934
9/5/2007,5.05,6,,8.575,9.03,6.879
